id,domain,feature,question
112,10_distribution_owned_media,09_audience-capture.md,Exact aggregate event schema and provider abstraction belong to Integrations pass; preserve strict PII boundary.
113,10_distribution_owned_media,10_web-analytics.md,Canonical web-event storage vs generic Metric/Event infrastructure should be resolved in Analytics/Engineering pass.
114,11_dsp,01_dsp-home.md,Need canonical DSP task/external-action model shared with Release Readiness and Platform integrations.
115,11_dsp,02_profiles.md,Status enums for individual DSPProfile fields and readiness need schema definition.
116,11_dsp,03_dsp-release-plan.md,"Need shared task status/entity contract across DSPReleasePlan, LaunchActivationPlan and distribution external actions."
117,11_dsp,04_opportunities.md,"Define eligibility/status enums and whether opportunity instances are imported, computed or hybrid."
118,11_dsp,05_editorial-pitch.md,Pitch status/outcome enums and version entity need schema definition.
119,11_dsp,06_source-of-streams.md,Canonical DiscoveryChannelPerformance persistence shape and snapshot granularity need Analytics/schema alignment.
120,11_dsp,07_playlist-research.md,"Future Publicity/Outreach domain may own curator relationship management; v1.3 should keep playlist research operational, not CRM."
121,11_dsp,08_dsp-video.md,Define DSPVideo references/status enums and ownership relative to Publication entity in schema pass.
122,11_dsp,09_revenue-imports.md,Need source-row granularity decision: snapshot-only vs normalized royalty line items feeding snapshots.
123,11_dsp,10_artist-playlists.md,ArtistPlaylist status enum and whether contents are modeled or only external reference need schema decision.
124,12_growth_market,01_growth-home.md,Growth recommendation prioritization may later need a transparent multi-objective decision model; do not freeze a score now.
125,12_growth_market,02_warm-network.md,"If future Publicity/Outreach Engine adds Contact entities, ownership boundary must be reconciled rather than duplicated."
126,12_growth_market,03_audience-sources.md,Need canonical location for attribution-confidence metadata when AudienceSource is attached to aggregates.
127,12_growth_market,04_search-intent.md,Formal SearchOpportunity entity schema/status is not specified in MASTER.
128,12_growth_market,05_market-opportunities.md,MarketOpportunity operational status and confidence calculation framework need later Analytics/schema calibration.
129,12_growth_market,06_geo-experiments.md,No new entity required unless shared Experiment cannot represent market arms cleanly; verify in schema pass.
130,12_growth_market,07_live.md,LiveSession status enum and guest/collaborator modeling are not defined.
131,12_growth_market,08_creator-collaboration.md,Creator identity/contact representation should align with future Publicity Contact/Organization architecture rather than duplicate it.
132,13_business_fan_value,01_business-home.md,Canonical business base currency and currency-conversion policy need engineering/product freeze.
133,13_business_fan_value,02_revenue-goals.md,First-class RevenueScenario entity/versioning not defined in MASTER.
134,13_business_fan_value,03_revenue-portfolio.md,Mapping RevenueEvent.source to RevenuePortfolio enum needs canonical schema mapping.
135,13_business_fan_value,04_fan-cohorts.md,Formal cohort-definition thresholds/rules should be configurable/evidence-based and not hardcoded prematurely.
136,13_business_fan_value,05_offers.md,Offer currency missing in MASTER schema must be resolved.
137,13_business_fan_value,05_offers.md,Offer status enum and versioning boundary need schema design.
138,13_business_fan_value,06_merch.md,Inventory quantity representation and order-level integration are outside current MASTER scope.
139,13_business_fan_value,07_unit-economics.md,Formal formula definitions and currency handling must be frozen with finance terminology during engineering spec.
140,13_business_fan_value,08_membership.md,Tier/version lifecycle and benefit-change semantics for existing vs new members need provider-aware engineering design.
141,13_business_fan_value,09_revenue-events.md,Correction/reversal data model and exact amount consistency rules need accounting-light schema design.
142,13_business_fan_value,10_attribution.md,Whether attribution evidence becomes its own entity vs RevenueEvent metadata should be resolved in schema pass.
143,14_analytics,01_analytics-home.md,Canonical baseline-window defaults and data-quality thresholds require calibration in engineering/eval pass.
144,14_analytics,02_metric-normalization.md,Finalize canonical formula registry for derived metrics during engineering spec.
145,14_analytics,03_snapshots.md,Age-bucket tolerance/default comparison policy needs analytical calibration.
146,14_analytics,04_baselines.md,Minimum sample guidance should be calibrated per analysis type rather than globally hardcoded.
147,14_analytics,05_outliers.md,Threshold/eval calibration required before implementation.
148,14_analytics,06_hook-analytics.md,Audience scope definition depends on available aggregate data.
149,14_analytics,07_segment-analytics.md,Segment-comparison minimum observations should be calibrated.
150,14_analytics,08_market-analytics.md,Canonical retention definitions vary by source and need metric registry.
151,14_analytics,09_fan-value-analytics.md,A unified aggregate depth index is intentionally not defined; keep dimensions explicit.
152,15_intelligence_learning_decisions,01_insights.md,Insight status enum/confidence scale exact values need schema alignment; MASTER only defines fields.
153,15_intelligence_learning_decisions,02_hypotheses.md,Hypothesis status enum should align with Experiment lifecycle.
154,15_intelligence_learning_decisions,03_experiments.md,Experiment status enum and exact execution-arm relationship need schema freeze.
155,15_intelligence_learning_decisions,04_learnings.md,Exact evidence threshold is intentionally not universal; needs per-scope calibration/evals.
156,15_intelligence_learning_decisions,05_time-decay.md,Per-scope decay curves/thresholds require calibration.
157,15_intelligence_learning_decisions,06_explore-exploit.md,Default denominator (Content Units vs Publications) should align with planning analytics.
158,15_intelligence_learning_decisions,07_decision-memory.md,Decision scope enum is not defined by MASTER; align with domains without inventing brittle taxonomy.
159,15_intelligence_learning_decisions,08_weekly-review.md,Persisted WeeklyReview entity/version schema is not defined.
160,15_intelligence_learning_decisions,09_identity-review.md,Default cadence configurable; event-driven criteria should remain suggestions rather than hardcoded triggers.
161,16_knowledge_research_context,01_artist-brain.md,Brain versioning entity vs generated snapshot needs schema decision.
162,16_knowledge_research_context,02_song-brains.md,Knowledge indexing granularity/chunk schema to define during engineering.
163,16_knowledge_research_context,03_tone-corpus.md,Exact verbatim-similarity guard threshold belongs to AI eval/guard implementation.
164,16_knowledge_research_context,04_anti-ai-style.md,Rule representation and priority integration with IdentityConstraint need engineering alignment.
165,16_knowledge_research_context,05_candidate-knowledge.md,Candidate status enum and merge semantics need schema freeze.
166,16_knowledge_research_context,06_research-claims.md,Source entity schema/archival snapshot policy needs Research implementation design.
167,16_knowledge_research_context,07_research-promotion.md,Exact authorization/reviewer roles future-ready but single artist MVP sufficient.
168,16_knowledge_research_context,08_context-assembler.md,Retrieval ranking weights/chunking/index strategy belongs to engineering/eval calibration.
169,16_knowledge_research_context,09_context-debug.md,Retention policy for AgentRun/debug payloads needs security/cost decision.
170,17_ai_agents_jobs,01_orchestrator.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
171,17_ai_agents_jobs,02_research-agent.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
172,17_ai_agents_jobs,03_strategy-agent.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
173,17_ai_agents_jobs,04_production-agent.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
174,17_ai_agents_jobs,05_analytics-agent.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
175,17_ai_agents_jobs,06_brand-guard.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
176,17_ai_agents_jobs,07_agent-config.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
177,17_ai_agents_jobs,08_agent-runs.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
178,17_ai_agents_jobs,09_prompt-registry.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
179,17_ai_agents_jobs,10_evals.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
180,17_ai_agents_jobs,11_model-routing.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
181,17_ai_agents_jobs,12_job-service.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
182,17_ai_agents_jobs,13_job-progress.md,Detailed structured output schemas and provider-specific retry parameters belong to engineering/eval implementation.
183,18_platforms_integrations,01_capability-registry.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
184,18_platforms_integrations,02_platform-accounts.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
185,18_platforms_integrations,03_asset-requirements.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
186,18_platforms_integrations,04_csv-wizard.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
187,18_platforms_integrations,05_mapping-templates.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
188,18_platforms_integrations,06_duplicate-detection.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
189,18_platforms_integrations,07_platform-adapters.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
190,18_platforms_integrations,08_presence-registry.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
191,18_platforms_integrations,09_verification.md,Provider-specific implementation details belong to adapters; shared normalized contracts finalized in Engineering Spec.
192,19_settings_security_portability,01_settings.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
193,19_settings_security_portability,02_secrets-oauth.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
194,19_settings_security_portability,03_privacy.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
195,19_settings_security_portability,04_audit-events.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
196,19_settings_security_portability,05_exports.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
197,19_settings_security_portability,06_logs.md,Retention/encryption-key/backup policies require Engineering/Security implementation specification.
198,20_product_quality_telemetry,01_product-telemetry.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
199,20_product_quality_telemetry,02_ai-telemetry.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
200,20_product_quality_telemetry,03_smart-ingest-kpi.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
201,20_product_quality_telemetry,04_identity-telemetry.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
202,20_product_quality_telemetry,05_testing.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
203,20_product_quality_telemetry,06_definition-of-done.md,Exact telemetry event schema/retention and CI implementation belong to Engineering Spec.
