id,domain,feature,question,disposition,priority,resolution_status,resolution_ref,target
54,05_campaigns_releases,01_campaigns.md,Final Campaign persistence schema and status enum.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
55,05_campaigns_releases,01_campaigns.md,Whether Campaign allows multiple Songs/Releases in MVP or one primary release plus related references.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,ACP-002,Architecture Decision Record / Domain Rulebook
56,05_campaigns_releases,01_campaigns.md,Canonical strategy-change event entity vs AuditEvent subtype.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-038,Architecture Decision Record / Domain Rulebook
57,05_campaigns_releases,02_campaign-goals.md,Whether Goal Definition deserves a dedicated entity or remains Campaign fields + history/event records.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-039,Architecture Decision Record / Domain Rulebook
58,05_campaigns_releases,03_release-lifecycle.md,Formal Release schema; multi-track release scope; semantics of `VIDEO` ReleaseExtension vs DSPVideo/Content asset.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-002,Architecture Change Proposal → MASTER v1.4 candidate
59,05_campaigns_releases,04_launch-activation.md,Generic orchestration action entity vs typed join tables; future owner/assignee model deferred.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-004,Architecture Change Proposal → MASTER v1.4 candidate
60,05_campaigns_releases,05_release-readiness.md,"Whether readiness checks are persisted snapshots, fully computed projections, or hybrid; likely hybrid with audit history.",ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-009,Architecture Decision Record / Domain Rulebook
61,05_campaigns_releases,06_momentum-windows.md,Canonical day-boundary/timezone policy for release date calculations requires engineering decision.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-010,Architecture Decision Record / Domain Rulebook
62,06_content_factory,01_factory-home.md,Whether Factory Home should include a deterministic “capacity warning” projection from Pipeline before generation; behavior is recommended but exact threshold model is not frozen.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
63,06_content_factory,02_angle-generation.md,"Exact default candidate count is configuration/product tuning, not architectural constant.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
64,06_content_factory,03_angle-review.md,Whether reject taxonomy is global enum or configurable product taxonomy can be decided in data-model pass.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
65,06_content_factory,04_creative-exploration.md,Exact exploration session batch size and clustering UX are implementation/product tuning details.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
66,06_content_factory,05_execution-package.md,Whether ExecutionPackage is first-class persisted entity or versioned structured fields attached to ContentUnit needs schema audit.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-011,Architecture Decision Record / Domain Rulebook
67,06_content_factory,06_hooks.md,"Exact minimum observation threshold comes from Experiment design/config, not Hook entity.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
68,06_content_factory,07_content-units.md,Canonical ID format for non-song ContentUnits remains to be defined.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-040,Architecture Decision Record / Domain Rulebook
69,06_content_factory,08_identity-check.md,Precedence among Identity/Era/Song/Content deviations remains a Context/Guard cross-domain schema question already tracked.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-002,Architecture Decision Record / Domain Rulebook
70,06_content_factory,09_novelty.md,Exact similarity algorithms/thresholds deferred to implementation/eval tuning.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
71,06_content_factory,10_fatigue.md,Exact fatigue classifier thresholds are intentionally not frozen in product spec; require eval/analytics calibration.,CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
72,06_content_factory,11_platform-adaptation.md,"Boundary for “adaptation change large enough to require new ContentUnit” needs heuristics/evals, not a single hard threshold.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
73,07_pipeline_planning_calendar,01_pipeline.md,"Whether `priority`, `nextAction` and `blocker` belong directly on ContentUnit or in separate operational projection requires schema audit. Exact grouping of canonical states into default Kanban columns is UX-configurable.",PRODUCT_UX_POLICY,P0,ROUTED_UX,,UX / Interaction Spec or product configuration
74,07_pipeline_planning_calendar,02_content-rhythm.md,MASTER does not define ContentRhythmTemplate field-level schema/status/versioning. Decide in schema pass whether rhythm targets are normalized child rows or JSONB configuration.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
75,07_pipeline_planning_calendar,03_evergreen-pool.md,Whether a dedicated EvergreenItem entity is necessary or Pool should remain a query/projection over existing entities.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-013,Architecture Decision Record / Domain Rulebook
76,07_pipeline_planning_calendar,04_recurring-series.md,RecurringSeries `status` enum and whether major concept evolution requires formal version entity need schema/product freeze.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-041,Architecture Decision Record / Domain Rulebook
77,07_pipeline_planning_calendar,05_content-slots.md,MASTER omits ContentSlot identity/status/assignment fields. Schema pass must define ownership and relationship to ContentUnit/Publications.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-014,Architecture Decision Record / Domain Rulebook
78,07_pipeline_planning_calendar,06_monthly-objective.md,"Critical architecture question: MASTER v1.3 references “Monthly Objective” as planning input but defines no first-class entity. Decide whether to introduce `PlanningObjective`/`PeriodObjective`, its scope (monthly only vs arbitrary period), schema/versioning and relationship to CampaignGoal.",ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-001,Architecture Change Proposal → MASTER v1.4 candidate
79,07_pipeline_planning_calendar,07_calendar.md,Canonical workspace timezone/day-boundary policy and whether external calendar integration enters future scope. Exact representation of flexible dateWindow on Month view needs UX prototyping.,PRODUCT_UX_POLICY,P0,PROPOSED_RESOLUTION,AR-010,UX / Interaction Spec or product configuration
80,07_pipeline_planning_calendar,08_seasonal-opportunities.md,Formal status enum and whether opportunity discovery belongs primarily to Growth/Research with Calendar only consuming a projection.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-015,Architecture Decision Record / Domain Rulebook
81,08_production,01_capability-profile.md,Formal status/availability model and whether locations/crew require dedicated entities vs embedded profile objects.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-042,Architecture Decision Record / Domain Rulebook
82,08_production,02_equipment.md,Equipment `type` and `qualityTier` enums are not frozen in MASTER.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
83,08_production,03_production-agent.md,Whether approved ProductionPlan needs dedicated versioned entity distinct from ExecutionPackage/ShootSession.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-012,Architecture Decision Record / Domain Rulebook
84,08_production,04_shoot-sessions.md,ShootSession status enum and normalized representation of setup/wardrobe/lighting/camera fields.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
85,08_production,05_shot-list.md,Whether `GOOD`/`SELECTED` should be Shot statuses or Take-level statuses once a formal Take entity is introduced; MASTER currently assigns statuses to Shot while On-Set includes take counter.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,ACP-005,Architecture Decision Record / Domain Rulebook
86,08_production,06_on-set.md,"Formal Take data model, whether app tracks explicit END TAKE, and offline/PWA persistence technology are engineering/schema decisions.",ENGINEERING_SPEC,P0,PROPOSED_RESOLUTION,ACP-005,Engineering Specification / Data Model Reference
87,08_production,07_takes.md,Critical: introduce formal `Take` entity vs derive from On-Set events + Smart Ingest groups. Also reconcile Shot statuses GOOD/SELECTED with take-level outcomes in MASTER.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-005,Architecture Change Proposal → MASTER v1.4 candidate
88,08_production,08_voice-notes.md,"Default retention/privacy policy and whether voice capture lives under Production, Assets or global quick-capture navigation; behavior remains cross-domain regardless.",ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-016,Architecture Decision Record / Domain Rulebook
89,08_production,09_production-economics.md,"Whether production cost estimates live on ShootSession, a dedicated scenario entity, Decision evidence, or Business cost model.",ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-043,Architecture Decision Record / Domain Rulebook
90,09_assets_media_rights,01_asset-library.md,Canonical tagging taxonomy and whether user-facing folders/collections are needed beyond metadata/search in MVP.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
91,09_assets_media_rights,02_smart-ingest.md,"Default confidence thresholds and persistence shape of mapping suggestions must be calibrated in implementation/evals, not hardcoded in product spec.",CALIBRATION_EVAL,P2,ROUTED_CALIBRATION,,AI/Analytics Eval & Calibration Spec
92,09_assets_media_rights,03_take-grouping.md,Relationship between confirmed group and future formal `Take` entity remains tied to Production schema audit.,ENGINEERING_SPEC,P1,PROPOSED_RESOLUTION,ACP-005,Engineering Specification / Data Model Reference
93,09_assets_media_rights,04_transcription.md,Canonical Transcript persistence as derived Asset vs structured transcript entity plus optional exported Asset.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-017,Architecture Decision Record / Domain Rulebook
94,09_assets_media_rights,05_rights.md,Exact blocking matrix by surface/use type should be centralized in Rights policy implementation rather than scattered per UI.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-018,Architecture Decision Record / Domain Rulebook
95,09_assets_media_rights,06_external-assets.md,Whether ExternalAssetSource is user-configurable registry UI in MVP or seed/config-backed only.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
96,09_assets_media_rights,07_lineage.md,Whether lineage is implemented purely through domain foreign keys + query service or supplemented by generalized edge table for flexible cross-surface usages.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,ACP-006,Architecture Decision Record / Domain Rulebook
97,09_assets_media_rights,08_derived-assets.md,MASTER singular `parentAssetId` conflicts with true multi-source MIXED/REMIX. Schema must add generalized parent-source relation or constrain semantics explicitly.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-006,Architecture Change Proposal → MASTER v1.4 candidate
98,09_assets_media_rights,09_atomization.md,Whether derivative plan items are own entity or embedded structured rows inside RepurposingPlan.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-044,Architecture Decision Record / Domain Rulebook
99,09_assets_media_rights,10_repurposing.md,Exact schema for `derivatives[]` and canonical product rule for when adaptation becomes new ContentUnit remain tied to Content Factory unresolved item #26.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,ACP-006,Architecture Decision Record / Domain Rulebook
100,10_distribution_owned_media,01_profile-readiness.md,Should readiness persistence be a computed projection only or also store campaign-time snapshots?,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-009,Architecture Decision Record / Domain Rulebook
101,10_distribution_owned_media,01_profile-readiness.md,Define exact REQUIRED-vs-OPTIONAL dimension policy per objective without hardcoding platform-specific UI rules.,PRODUCT_UX_POLICY,P2,ROUTED_UX,,UX / Interaction Spec or product configuration
102,10_distribution_owned_media,02_starter-pack.md,Should StarterContentPack be persisted as a plan entity or computed from role assignments/profile context?,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-019,Architecture Decision Record / Domain Rulebook
103,10_distribution_owned_media,03_profile-audit.md,Need canonical external-action/task representation shared with Distribution/DSP/Platform adapters.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-004,Architecture Change Proposal → MASTER v1.4 candidate
104,10_distribution_owned_media,04_publications.md,Canonical Publication status enum is not defined by MASTER and needs schema freeze.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
105,10_distribution_owned_media,04_publications.md,Clarify persisted boundary between adaptation version and Publication execution snapshot.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-020,Architecture Decision Record / Domain Rulebook
106,10_distribution_owned_media,05_publishing.md,"Need shared ExternalAction/Execution schema across publishing, DSP tasks and profile audit.",ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-004,Architecture Change Proposal → MASTER v1.4 candidate
107,10_distribution_owned_media,06_link-routing.md,Formal LinkDestination schema/status/versioning is not specified in MASTER.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-045,Architecture Decision Record / Domain Rulebook
108,10_distribution_owned_media,06_link-routing.md,Whether timed switches use JobService scheduler vs computed effective configuration requires engineering decision.,ARCHITECTURE_CONTRACT,P1,PROPOSED_RESOLUTION,AR-021,Architecture Decision Record / Domain Rulebook
109,10_distribution_owned_media,07_owned-media.md,WebSection content schema and WebExperience status/version lifecycle need schema design.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-046,Architecture Decision Record / Domain Rulebook
110,10_distribution_owned_media,07_owned-media.md,Hosting/deployment provider abstraction is not specified by MASTER and should remain infrastructure-level.,ENGINEERING_SPEC,P1,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
111,10_distribution_owned_media,08_web-story.md,Choose first-class WebStory entity vs embedded/versioned WebExperience section during schema design.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-022,Architecture Decision Record / Domain Rulebook
112,10_distribution_owned_media,09_audience-capture.md,Exact aggregate event schema and provider abstraction belong to Integrations pass; preserve strict PII boundary.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-047,Architecture Decision Record / Domain Rulebook
113,10_distribution_owned_media,10_web-analytics.md,Canonical web-event storage vs generic Metric/Event infrastructure should be resolved in Analytics/Engineering pass.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-048,Architecture Decision Record / Domain Rulebook
114,11_dsp,01_dsp-home.md,Need canonical DSP task/external-action model shared with Release Readiness and Platform integrations.,ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-004,Architecture Change Proposal → MASTER v1.4 candidate
115,11_dsp,02_profiles.md,Status enums for individual DSPProfile fields and readiness need schema definition.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
116,11_dsp,03_dsp-release-plan.md,"Need shared task status/entity contract across DSPReleasePlan, LaunchActivationPlan and distribution external actions.",ACP_REQUIRED,P0,PROPOSED_RESOLUTION,ACP-004,Architecture Change Proposal → MASTER v1.4 candidate
117,11_dsp,04_opportunities.md,"Define eligibility/status enums and whether opportunity instances are imported, computed or hybrid.",ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-049,Architecture Decision Record / Domain Rulebook
118,11_dsp,05_editorial-pitch.md,Pitch status/outcome enums and version entity need schema definition.,ENGINEERING_SPEC,P0,ROUTED_ENGINEERING,,Engineering Specification / Data Model Reference
119,11_dsp,06_source-of-streams.md,Canonical DiscoveryChannelPerformance persistence shape and snapshot granularity need Analytics/schema alignment.,ARCHITECTURE_CONTRACT,P0,PROPOSED_RESOLUTION,AR-050,Architecture Decision Record / Domain Rulebook
